,Primer,Taxonomic Level,Reference Status,Num Subsampled,Total Nodes,Total Edges,Positive Edges,Negative Edges,Pos/Neg,Pos/Total,Neg/Total,Avg Path Length,Modularity,Avg Degree,Heterogeneity,Clustering Coefficient
333,asv16S,Genus,physeq_Reference,50,67,243,241,2,120.5,0.991769547,0.008230453,1.721504113,0.373137354,7.253731343,0.229093376,0.314033742
334,asv16S,Genus,physeq_Reference,50,45,95,95,0,Inf,1,0,1.8,0.458651566,4.222222222,0.2421791,0.183321352
335,asv16S,Genus,physeq_Reference,50,69,269,267,2,133.5,0.992565056,0.007434944,1.898682877,0.421984297,7.797101449,0.308668308,0.366416215
336,asv16S,Genus,physeq_Reference,50,46,107,107,0,Inf,1,0,1.832288401,0.320073021,4.652173913,0.285915862,0.161805173
337,asv16S,Genus,physeq_Reference,50,49,76,76,0,Inf,1,0,1.880877743,0.348000281,3.102040816,0.184810101,0.083265306
338,asv16S,Genus,physeq_Reference,50,72,237,235,2,117.5,0.991561181,0.008438819,1.809242871,0.482995537,6.583333333,0.386447611,0.306110103
339,asv16S,Genus,physeq_Reference,50,79,243,241,2,120.5,0.991769547,0.008230453,2.095036959,0.514884525,6.151898734,0.384908293,0.396716826
340,asv16S,Genus,physeq_Reference,50,60,187,186,1,186,0.994652406,0.005347594,1.90942928,0.420353672,6.233333333,0.242894563,0.281569966
341,asv16S,Genus,physeq_Reference,50,53,137,137,0,Inf,1,0,1.774299835,0.373869939,5.169811321,0.26179856,0.237215299
342,asv16S,Genus,physeq_Reference,50,46,99,99,0,Inf,1,0,1.818518519,0.448289139,4.304347826,0.28364007,0.17414248
343,asv16S,Genus,physeq_Reference,50,43,69,69,0,Inf,1,0,1.871268657,0.400905701,3.209302326,0.201541254,0.090731707
344,asv16S,Genus,physeq_Reference,50,61,142,141,1,141,0.992957746,0.007042254,1.770731707,0.475541211,4.655737705,0.241762006,0.237011593
345,asv16S,Genus,physeq_Reference,50,76,280,279,1,279,0.996428571,0.003571429,2.744821872,0.449574572,7.368421053,0.269464518,0.363530585
346,asv16S,Genus,physeq_Reference,50,66,172,171,1,171,0.994186047,0.005813953,1.796407186,0.469243062,5.212121212,0.290419817,0.30256593
347,asv16S,Genus,physeq_Reference,50,50,106,106,0,Inf,1,0,1.827302632,0.410746195,4.24,0.271170454,0.164623468
348,asv16S,Genus,physeq_Reference,50,48,119,119,0,Inf,1,0,1.755693582,0.486379304,4.958333333,0.311822388,0.267826087
349,asv16S,Genus,physeq_Reference,50,65,168,167,1,167,0.994047619,0.005952381,1.728222997,0.564409575,5.169230769,0.318652182,0.315011372
350,asv16S,Genus,physeq_Reference,50,54,157,157,0,Inf,1,0,1.721311475,0.403392319,5.814814815,0.255895979,0.31825273
351,asv16S,Genus,physeq_Reference,50,64,248,246,2,123,0.991935484,0.008064516,1.930909091,0.329041432,7.75,0.297017717,0.30080429
352,asv16S,Genus,physeq_Reference,50,71,224,222,2,111,0.991071429,0.008928571,1.869193154,0.506723683,6.309859155,0.252323603,0.3388449
353,asv16S,Genus,physeq_Reference,50,61,186,183,3,61,0.983870968,0.016129032,1.842907386,0.430695899,6.098360656,0.27377606,0.274822191
354,asv16S,Genus,physeq_Reference,50,58,132,132,0,Inf,1,0,1.761384335,0.565987408,4.551724138,0.246873688,0.254314721
355,asv16S,Genus,physeq_Reference,50,56,152,152,0,Inf,1,0,1.795862069,0.415554271,5.428571429,0.288346801,0.220412595
356,asv16S,Genus,physeq_Reference,50,68,196,194,2,97,0.989795918,0.010204082,2.011673152,0.545994687,5.764705882,0.377721747,0.36475284
357,asv16S,Genus,physeq_Reference,50,62,153,152,1,152,0.993464052,0.006535948,1.789473684,0.381615328,4.935483871,0.240191525,0.219724438
358,asv16S,Genus,physeq_Reference,50,78,281,271,10,27.1,0.964412811,0.035587189,2.093382353,0.39461438,7.205128205,0.370022438,0.347615872
